Gene,RelationName,To
TP53,controls-expression-of,AARS
TP53,controls-expression-of,AATF
TP53,controls-expression-of,ABCA12
TP53,controls-expression-of,ABCB1
TP53,controls-state-change-of,ABCB1
TP53,catalysis-precedes,ABCC1
TP53,controls-state-change-of,ABCC1
TP53,catalysis-precedes,ABCC4
TP53,controls-state-change-of,ABCC4
TP53,controls-expression-of,ABCC5
TP53,controls-state-change-of,ABCC6
TP53,controls-expression-of,ABCD1
TP53,catalysis-precedes,ABCG2
TP53,controls-expression-of,ACKR3
TP53,controls-expression-of,ACSL5
TP53,controls-expression-of,ACTL8
TP53,controls-expression-of,ACY1
TP53,controls-expression-of,ADAM10
TP53,controls-expression-of,ADAMTS10
TP53,controls-expression-of,ADAMTS4
TP53,controls-expression-of,ADAMTS9
TP53,controls-expression-of,ADD3
TP53,controls-expression-of,ADGRB1
TP53,controls-expression-of,ADO
TP53,controls-expression-of,AEN
TP53,controls-expression-of,AFP
TP53,controls-expression-of,AGR2
TP53,controls-expression-of,AHNAK
TP53,controls-expression-of,AIFM2
TP53,controls-expression-of,AIM2
TP53,controls-expression-of,AKAP6
TP53,controls-expression-of,AKAP9
TP53,catalysis-precedes,AKR1A1
TP53,catalysis-precedes,AKR1B10
TP53,catalysis-precedes,AKR1B1
TP53,controls-state-change-of,AKR1B1
TP53,catalysis-precedes,AKR1C1
TP53,catalysis-precedes,AKR1C2
TP53,catalysis-precedes,AKR1C3
TP53,catalysis-precedes,AKR1C4
TP53,controls-state-change-of,AKT1
TP53,controls-expression-of,AKT2
TP53,controls-state-change-of,ALB
TP53,controls-expression-of,ALDH6A1
TP53,controls-expression-of,ALG3
TP53,controls-expression-of,ALKBH5
TP53,controls-state-change-of,ALK
TP53,controls-expression-of,AMH
TP53,controls-expression-of,ANAPC7
TP53,controls-expression-of,ANGPT2
TP53,controls-expression-of,ANKRD13B
TP53,controls-expression-of,ANKRD53
TP53,controls-expression-of,ANLN
TP53,controls-expression-of,ANP32E
TP53,controls-expression-of,ANXA1
TP53,controls-expression-of,ANXA2
TP53,controls-expression-of,AP1B1
TP53,controls-expression-of,AP1G2
TP53,controls-expression-of,AP3S1
TP53,controls-expression-of,AP3S2
TP53,controls-expression-of,AP4S1
TP53,controls-expression-of,APAF1
TP53,controls-expression-of,APC
TP53,controls-expression-of,APEX1
TP53,controls-state-change-of,APP
TP53,controls-expression-of,ARHGAP44
TP53,controls-expression-of,ARHGEF37
TP53,controls-expression-of,ARHGEF6
TP53,controls-expression-of,ARID3A
TP53,controls-expression-of,ARL14EP
TP53,controls-expression-of,ARMCX1
TP53,controls-expression-of,ARRDC4
TP53,controls-expression-of,ARVCF
TP53,controls-state-change-of,AS3MT
TP53,controls-expression-of,ASAH1
TP53,controls-expression-of,ASCL4
TP53,controls-expression-of,ASF1A
TP53,controls-state-change-of,ASF1A
TP53,controls-expression-of,ASIC2
TP53,controls-expression-of,ASIC4
TP53,controls-expression-of,ATF3
TP53,controls-state-change-of,ATF4
TP53,controls-expression-of,ATG12
TP53,controls-expression-of,ATG9A
TP53,controls-expression-of,ATP5F1D
TP53,controls-state-change-of,ATP5PF
TP53,controls-expression-of,ATP6AP1
TP53,controls-expression-of,ATXN10
TP53,controls-expression-of,AURKA
TP53,controls-expression-of,BAG2
TP53,controls-expression-of,BATF2
TP53,controls-expression-of,BAX
TP53,controls-state-change-of,BAX
TP53,controls-expression-of,BAZ2A
TP53,controls-expression-of,BBC3
TP53,controls-state-change-of,BBC3
TP53,controls-expression-of,BCAM
TP53,controls-expression-of,BCAT1
TP53,controls-expression-of,BCL11A
TP53,controls-expression-of,BCL11B
TP53,controls-expression-of,BCL2A1
TP53,controls-expression-of,BCL2L11
TP53,controls-expression-of,BCL2L14
TP53,controls-expression-of,BCL2L1
TP53,controls-state-change-of,BCL2L1
TP53,controls-expression-of,BCL2
