Gene,RelationName,To
PIK3R1,controls-state-change-of,AAK1
PIK3R1,controls-state-change-of,ABI1
PIK3R1,controls-state-change-of,ABI2
PIK3R1,controls-state-change-of,ACTR2
PIK3R1,controls-state-change-of,ACTR3
PIK3R1,controls-state-change-of,ADAP1
PIK3R1,controls-state-change-of,ADRB2
PIK3R1,controls-state-change-of,AGFG1
PIK3R1,controls-state-change-of,AGTR1
PIK3R1,controls-phosphorylation-of,AKT1
PIK3R1,controls-state-change-of,AKT1
PIK3R1,controls-transport-of,AKT1
PIK3R1,controls-state-change-of,AKT2
PIK3R1,controls-state-change-of,AKT3
PIK3R1,controls-state-change-of,AMPH
PIK3R1,controls-state-change-of,AP2A1
PIK3R1,controls-state-change-of,AP2A2
PIK3R1,controls-state-change-of,AP2B1
PIK3R1,controls-state-change-of,AP2M1
PIK3R1,controls-state-change-of,AP2S1
PIK3R1,controls-state-change-of,APC
PIK3R1,controls-state-change-of,APOB
PIK3R1,controls-state-change-of,ARAP3
PIK3R1,controls-state-change-of,AREG
PIK3R1,controls-state-change-of,ARF6
PIK3R1,controls-state-change-of,ARHGAP1
PIK3R1,controls-state-change-of,ARHGAP8
PIK3R1,controls-state-change-of,ARHGEF4
PIK3R1,controls-state-change-of,ARPC1A
PIK3R1,controls-state-change-of,ARPC1B
PIK3R1,controls-state-change-of,ARPC2
PIK3R1,controls-state-change-of,ARPC3
PIK3R1,controls-state-change-of,ARPC4
PIK3R1,controls-state-change-of,ARPC5
PIK3R1,controls-state-change-of,ARRB1
PIK3R1,controls-state-change-of,ARRB2
PIK3R1,controls-state-change-of,ATP5PF
PIK3R1,controls-state-change-of,AVPR2
PIK3R1,controls-state-change-of,AVP
PIK3R1,controls-state-change-of,BAG4
PIK3R1,controls-state-change-of,BAIAP2
PIK3R1,controls-state-change-of,BCAR1
PIK3R1,controls-expression-of,BCL2L1
PIK3R1,controls-state-change-of,BCL2
PIK3R1,controls-state-change-of,BCR
PIK3R1,controls-state-change-of,BID
PIK3R1,controls-state-change-of,BIN1
PIK3R1,catalysis-precedes,BLK
PIK3R1,catalysis-precedes,BLNK
PIK3R1,controls-state-change-of,BLNK
PIK3R1,controls-state-change-of,BRK1
PIK3R1,controls-state-change-of,BTC
PIK3R1,catalysis-precedes,BTK
PIK3R1,controls-state-change-of,BTK
PIK3R1,controls-transport-of,BTK
