Gene,RelationName,To
RB1,controls-expression-of,ACBD6
RB1,controls-expression-of,ACO2
RB1,controls-expression-of,ADAMTS2
RB1,controls-expression-of,AK2
RB1,controls-expression-of,ALDH6A1
RB1,controls-expression-of,ANKHD1-EIF4EBP3
RB1,controls-expression-of,ANKHD1
RB1,controls-expression-of,AP1S1
RB1,controls-expression-of,AP4M1
RB1,controls-expression-of,APH1A
RB1,controls-expression-of,ARHGAP11A
RB1,controls-expression-of,ARHGAP6
RB1,controls-expression-of,ARID4A
RB1,controls-state-change-of,ASF1A
RB1,controls-expression-of,ASXL2
RB1,controls-expression-of,ATAD2
RB1,controls-expression-of,ATAD5
RB1,controls-phosphorylation-of,ATF2
RB1,controls-state-change-of,ATF2
RB1,controls-expression-of,ATF5
RB1,controls-expression-of,ATRX
RB1,controls-expression-of,BGLAP
RB1,controls-expression-of,BRD2
RB1,controls-expression-of,BRMS1L
RB1,controls-expression-of,C19orf57
RB1,controls-state-change-of,CABIN1
RB1,controls-expression-of,CAND1
RB1,controls-expression-of,CASP7
RB1,controls-expression-of,CASP8AP2
RB1,controls-expression-of,CBX5
RB1,controls-expression-of,CCNA2
RB1,controls-state-change-of,CCNA2
RB1,controls-expression-of,CCND3
RB1,controls-expression-of,CCNE1
RB1,controls-expression-of,CCNE2
RB1,controls-expression-of,CCNT1
RB1,controls-expression-of,CD3EAP
RB1,controls-expression-of,CDC20B
RB1,controls-expression-of,CDC25A
RB1,controls-expression-of,CDC6
RB1,controls-expression-of,CDCA7
RB1,controls-expression-of,CDK1
RB1,controls-expression-of,CDKN1A
RB1,controls-expression-of,CDKN1B
RB1,controls-expression-of,CDKN2A
RB1,controls-expression-of,CDT1
RB1,controls-expression-of,CLSPN
RB1,controls-expression-of,CLTA
RB1,controls-expression-of,CNOT9
RB1,controls-expression-of,COL1A1
RB1,controls-expression-of,CORT
RB1,controls-expression-of,CTCF
RB1,controls-expression-of,CTDSP1
RB1,controls-expression-of,CTDSPL2
RB1,controls-expression-of,DCK
RB1,controls-expression-of,DCTPP1
RB1,controls-expression-of,DDB2
RB1,controls-expression-of,DMD
RB1,controls-expression-of,DNAJC11
RB1,controls-expression-of,DNAJC5G
RB1,controls-expression-of,DNAJC9
RB1,controls-expression-of,DNMT1
RB1,controls-expression-of,DPYSL2
RB1,controls-expression-of,DTL
RB1,controls-expression-of,E2F1
RB1,controls-expression-of,E2F3
RB1,controls-expression-of,E2F7
RB1,controls-expression-of,E2F8
RB1,controls-expression-of,EED
RB1,controls-expression-of,EFNA5
