Gene,RelationName,To
NF1,controls-expression-of,AAK1
NF1,controls-expression-of,ABCA9
NF1,controls-expression-of,ABCB6
NF1,controls-expression-of,ABHD17B
NF1,controls-expression-of,ABHD5
NF1,controls-expression-of,ABLIM2
NF1,controls-expression-of,ABRA
NF1,controls-expression-of,ACACA
NF1,controls-expression-of,ACO1
NF1,controls-expression-of,ACTG2
NF1,controls-expression-of,ACVR1
NF1,controls-expression-of,ADAM12
NF1,controls-expression-of,ADAMTSL1
NF1,controls-expression-of,ADARB2
NF1,controls-expression-of,ADCY1
NF1,controls-expression-of,ADCYAP1
NF1,controls-expression-of,ADD3
NF1,controls-expression-of,ADORA1
NF1,controls-expression-of,ADRB2
NF1,controls-expression-of,AFF4
NF1,controls-expression-of,AGAP2
NF1,controls-expression-of,AGER
NF1,controls-expression-of,AGPAT1
NF1,controls-expression-of,AGR2
NF1,controls-expression-of,AHSG
NF1,controls-expression-of,AKAP2
NF1,controls-expression-of,AKAP4
NF1,controls-phosphorylation-of,AKT1
NF1,controls-state-change-of,AKT1
NF1,controls-phosphorylation-of,AKT2
NF1,controls-state-change-of,AKT2
NF1,controls-phosphorylation-of,AKT3
NF1,controls-state-change-of,AKT3
NF1,controls-expression-of,ALAS1
NF1,controls-expression-of,ALB
NF1,controls-expression-of,ALDH3B1
NF1,controls-expression-of,ALDOC
NF1,controls-expression-of,ALK
NF1,controls-expression-of,AMOTL1
NF1,controls-expression-of,AMOTL2
NF1,controls-expression-of,ANAPC10
NF1,controls-expression-of,ANGPT1
NF1,controls-expression-of,ANKFN1
NF1,controls-expression-of,ANKRD12
NF1,controls-expression-of,ANKRD28
NF1,controls-expression-of,ANKRD39
NF1,controls-expression-of,ANP32A
NF1,controls-expression-of,ANP32D
NF1,controls-expression-of,AP1AR
NF1,controls-expression-of,AP3S1
NF1,controls-expression-of,APLN
NF1,controls-expression-of,APOA2
NF1,controls-expression-of,APOC4
NF1,controls-expression-of,APTX
NF1,controls-expression-of,AQP11
NF1,controls-expression-of,AQP9
NF1,controls-expression-of,ARCN1
NF1,controls-expression-of,ARFIP1
NF1,controls-expression-of,ARHGAP6
NF1,controls-expression-of,ARHGEF12
NF1,controls-expression-of,ARHGEF6
NF1,controls-expression-of,ARIH1
NF1,controls-expression-of,ARL14EP
NF1,controls-expression-of,ARL4D
NF1,controls-expression-of,ARMC8
NF1,controls-expression-of,ARRB2
NF1,controls-expression-of,ARTN
NF1,controls-expression-of,ASCL2
NF1,controls-expression-of,ASIC1
NF1,controls-expression-of,ASPN
NF1,controls-expression-of,ATF4
NF1,controls-expression-of,ATG12
NF1,controls-expression-of,ATP11C
NF1,controls-expression-of,ATP2A3
NF1,controls-expression-of,ATP6V0C
NF1,controls-expression-of,ATP6V1A
NF1,controls-expression-of,ATP6V1E2
NF1,controls-expression-of,ATP8B3
NF1,controls-expression-of,AXIN2
NF1,controls-expression-of,B2M
NF1,controls-expression-of,B3GALT2
NF1,controls-expression-of,B3GAT3
NF1,controls-expression-of,BACH2
NF1,controls-expression-of,BAHD1
NF1,controls-expression-of,BBOX1
NF1,controls-expression-of,BCAR3
NF1,controls-expression-of,BCAS4
NF1,controls-expression-of,BCL11A
NF1,controls-expression-of,BCL6
NF1,controls-expression-of,BCL9
NF1,controls-expression-of,BCORP1
NF1,controls-expression-of,BDNF
NF1,controls-expression-of,BICD1
NF1,controls-expression-of,BIN3-IT1
NF1,controls-expression-of,BMF
NF1,controls-expression-of,BMP6
NF1,controls-expression-of,BNC1
NF1,controls-expression-of,BNC2
NF1,controls-expression-of,BPIFA2
NF1,controls-expression-of,BPTF
NF1,controls-expression-of,BRINP1
NF1,controls-expression-of,BRSK1
NF1,controls-expression-of,BTBD3
NF1,controls-expression-of,BTRC
NF1,controls-expression-of,BZW2
NF1,controls-expression-of,C10orf71
NF1,controls-expression-of,C10orf82
NF1,controls-expression-of,C11orf1
NF1,controls-expression-of,C12orf65
NF1,controls-expression-of,C1QTNF1
NF1,controls-expression-of,C1QTNF3
NF1,controls-expression-of,C1orf122
NF1,controls-expression-of,C2CD6
NF1,controls-expression-of,C2orf73
NF1,controls-expression-of,C3orf36
NF1,controls-expression-of,C3orf58
NF1,controls-expression-of,C4A
NF1,controls-expression-of,C4B
NF1,controls-expression-of,C6orf106
