Gene,RelationName,To
PTEN,controls-state-change-of,AGT
PTEN,controls-expression-of,AKT1
PTEN,controls-state-change-of,AKT1
PTEN,controls-state-change-of,AKT2
PTEN,controls-state-change-of,AKT3
PTEN,controls-state-change-of,ALDH3B1
PTEN,controls-state-change-of,AP2A1
PTEN,controls-state-change-of,AP2A2
PTEN,controls-state-change-of,AP2B1
PTEN,controls-state-change-of,AP2M1
PTEN,controls-state-change-of,AP2S1
PTEN,controls-state-change-of,APBB1IP
PTEN,controls-state-change-of,AREG
PTEN,controls-state-change-of,ARF6
PTEN,controls-state-change-of,AR
PTEN,controls-expression-of,BAD
PTEN,controls-state-change-of,BAD
PTEN,controls-expression-of,BECN1
PTEN,catalysis-precedes,BLK
PTEN,catalysis-precedes,BLNK
PTEN,controls-state-change-of,BTC
PTEN,catalysis-precedes,BTK
PTEN,controls-expression-of,CA9
PTEN,controls-state-change-of,CACNA1C
PTEN,catalysis-precedes,CBL
PTEN,controls-state-change-of,CBL
PTEN,controls-expression-of,CCND1
PTEN,catalysis-precedes,CD79A
PTEN,catalysis-precedes,CD79B
PTEN,controls-state-change-of,CDC42
PTEN,controls-state-change-of,CDK1
PTEN,controls-expression-of,CDKN1B
PTEN,controls-production-of,CHEBI:16595
PTEN,controls-production-of,CHEBI:16618
PTEN,controls-production-of,CHEBI:16749
PTEN,controls-production-of,CHEBI:17526
PTEN,controls-production-of,CHEBI:18348
PTEN,controls-production-of,CHEBI:18367
PTEN,controls-production-of,CHEBI:203600
PTEN,controls-production-of,CHEBI:26078
PTEN,controls-production-of,CHEBI:566274
PTEN,catalysis-precedes,CLEC1B
PTEN,controls-state-change-of,CLTA
PTEN,controls-state-change-of,CLTB
PTEN,controls-state-change-of,CLTCL1
PTEN,controls-state-change-of,CLTC
PTEN,controls-state-change-of,CREB1
PTEN,controls-expression-of,CXCL8
PTEN,controls-state-change-of,DCC
PTEN,controls-state-change-of,DOCK1
PTEN,catalysis-precedes,DVL1
PTEN,controls-state-change-of,DVL1
PTEN,catalysis-precedes,DVL2
PTEN,controls-state-change-of,DVL2
PTEN,catalysis-precedes,DVL3
PTEN,controls-state-change-of,DVL3
PTEN,catalysis-precedes,EGFR
PTEN,controls-state-change-of,EGFR
PTEN,controls-state-change-of,EGF
PTEN,controls-state-change-of,EIF4EBP1
PTEN,controls-state-change-of,EPGN
PTEN,controls-state-change-of,EPN1
PTEN,catalysis-precedes,EPOR
PTEN,catalysis-precedes,EPO
PTEN,controls-state-change-of,EPS15L1
PTEN,controls-state-change-of,EPS15
PTEN,controls-state-change-of,EREG
PTEN,controls-state-change-of,EZR
PTEN,catalysis-precedes,FGR
PTEN,controls-state-change-of,FOXO1
PTEN,controls-expression-of,FTH1
PTEN,catalysis-precedes,FYN
PTEN,controls-state-change-of,FYN
PTEN,controls-state-change-of,FZD5
PTEN,catalysis-precedes,GAB1
PTEN,catalysis-precedes,GAPDHS
PTEN,catalysis-precedes,GAPDH
PTEN,catalysis-precedes,GDPGP1
PTEN,catalysis-precedes,GNA11
PTEN,catalysis-precedes,GNA14
PTEN,catalysis-precedes,GNA15
PTEN,catalysis-precedes,GNAI1
PTEN,catalysis-precedes,GNAI2
PTEN,catalysis-precedes,GNAI3
PTEN,catalysis-precedes,GNAO1
PTEN,catalysis-precedes,GNAQ
PTEN,catalysis-precedes,GNAT1
PTEN,catalysis-precedes,GNAT2
PTEN,catalysis-precedes,GNAT3
PTEN,catalysis-precedes,GNAZ
PTEN,catalysis-precedes,GNB1
PTEN,catalysis-precedes,GNB2
PTEN,catalysis-precedes,GNB3
PTEN,catalysis-precedes,GNB4
PTEN,catalysis-precedes,GNB5
PTEN,catalysis-precedes,GNG10
PTEN,catalysis-precedes,GNG11
PTEN,catalysis-precedes,GNG12
PTEN,catalysis-precedes,GNG13
PTEN,catalysis-precedes,GNG2
PTEN,catalysis-precedes,GNG3
PTEN,catalysis-precedes,GNG4
PTEN,catalysis-precedes,GNG5
PTEN,catalysis-precedes,GNG7
PTEN,catalysis-precedes,GNG8
PTEN,catalysis-precedes,GNGT1
PTEN,catalysis-precedes,GNGT2
PTEN,catalysis-precedes,GRAP2
PTEN,catalysis-precedes,GRB2
PTEN,controls-state-change-of,GRB2
PTEN,controls-state-change-of,GSK3B
PTEN,controls-state-change-of,HBEGF
PTEN,catalysis-precedes,HCK
PTEN,controls-state-change-of,HGS
PTEN,controls-expression-of,HIF1A
PTEN,controls-state-change-of,HRAS
PTEN,catalysis-precedes,IGHD
PTEN,catalysis-precedes,IGHM
PTEN,catalysis-precedes,IGHV1-2
PTEN,catalysis-precedes,IGHV1-46
PTEN,catalysis-precedes,IGHV1-69
PTEN,catalysis-precedes,IGHV2-5
PTEN,catalysis-precedes,IGHV2-70
PTEN,catalysis-precedes,IGHV3-11
PTEN,catalysis-precedes,IGHV3-13
PTEN,catalysis-precedes,IGHV3-23
PTEN,catalysis-precedes,IGHV3-30
PTEN,catalysis-precedes,IGHV3-33
PTEN,catalysis-precedes,IGHV3-48
PTEN,catalysis-precedes,IGHV3-53
PTEN,catalysis-precedes,IGHV3-7
PTEN,catalysis-precedes,IGHV3-9
PTEN,catalysis-precedes,IGHV4-34
PTEN,catalysis-precedes,IGHV4-39
PTEN,catalysis-precedes,IGHV4-59
PTEN,catalysis-precedes,IGKC
PTEN,catalysis-precedes,IGKV1-12
PTEN,catalysis-precedes,IGKV1-16
PTEN,catalysis-precedes,IGKV1-17
PTEN,catalysis-precedes,IGKV1-33
PTEN,catalysis-precedes,IGKV1-39
PTEN,catalysis-precedes,IGKV1-5
PTEN,catalysis-precedes,IGKV1D-12
PTEN,catalysis-precedes,IGKV1D-16
PTEN,catalysis-precedes,IGKV1D-33
PTEN,catalysis-precedes,IGKV1D-39
PTEN,catalysis-precedes,IGKV2-28
PTEN,catalysis-precedes,IGKV2-29
PTEN,catalysis-precedes,IGKV2-30
PTEN,catalysis-precedes,IGKV2D-28
PTEN,catalysis-precedes,IGKV2D-30
PTEN,catalysis-precedes,IGKV2D-40
PTEN,catalysis-precedes,IGKV3-11
PTEN,catalysis-precedes,IGKV3-15
PTEN,catalysis-precedes,IGKV3-20
PTEN,catalysis-precedes,IGKV3D-20
PTEN,catalysis-precedes,IGKV4-1
PTEN,catalysis-precedes,IGKV5-2
PTEN,catalysis-precedes,IGLC1
PTEN,catalysis-precedes,IGLC2
PTEN,catalysis-precedes,IGLC3
PTEN,catalysis-precedes,IGLC6
PTEN,catalysis-precedes,IGLC7
PTEN,catalysis-precedes,IGLV1-40
PTEN,catalysis-precedes,IGLV1-44
PTEN,catalysis-precedes,IGLV1-47
PTEN,catalysis-precedes,IGLV1-51
PTEN,catalysis-precedes,IGLV2-11
PTEN,catalysis-precedes,IGLV2-14
PTEN,catalysis-precedes,IGLV2-23
PTEN,catalysis-precedes,IGLV2-8
PTEN,catalysis-precedes,IGLV3-19
PTEN,catalysis-precedes,IGLV3-1
PTEN,catalysis-precedes,IGLV3-21
PTEN,catalysis-precedes,IGLV3-25
PTEN,catalysis-precedes,IGLV3-27
PTEN,catalysis-precedes,IGLV6-57
PTEN,catalysis-precedes,IGLV7-43
PTEN,controls-expression-of,IL6
PTEN,catalysis-precedes,INPP5A
PTEN,catalysis-precedes,INPP5B
PTEN,catalysis-precedes,INPP5D
PTEN,catalysis-precedes,INPP5E
PTEN,catalysis-precedes,INPP5F
PTEN,catalysis-precedes,INPP5J
PTEN,catalysis-precedes,INPP5K
PTEN,catalysis-precedes,INPPL1
PTEN,controls-state-change-of,INS
PTEN,catalysis-precedes,IPMK
PTEN,controls-state-change-of,IQSEC1
PTEN,controls-state-change-of,IRS1
PTEN,catalysis-precedes,IRS2
PTEN,controls-state-change-of,ITGAV
PTEN,controls-state-change-of,ITGB3
PTEN,catalysis-precedes,ITK
PTEN,controls-state-change-of,ITPR1
PTEN,controls-state-change-of,ITPR2
PTEN,controls-state-change-of,ITPR3
PTEN,controls-state-change-of,ITSN1
PTEN,catalysis-precedes,JAK2
PTEN,catalysis-precedes,KIRREL1
PTEN,controls-expression-of,KLK3
PTEN,controls-state-change-of,KLK3
PTEN,catalysis-precedes,LAT
PTEN,catalysis-precedes,LCK
PTEN,catalysis-precedes,LCP2
PTEN,controls-state-change-of,LRP6
PTEN,catalysis-precedes,LYN
PTEN,controls-expression-of,MAP1LC3B
PTEN,controls-state-change-of,MAPK1
PTEN,controls-state-change-of,MAPK3
PTEN,controls-expression-of,MT2A
PTEN,catalysis-precedes,MTAP
PTEN,catalysis-precedes,MTHFD1L
PTEN,catalysis-precedes,MTHFD1
PTEN,controls-expression-of,MTOR
PTEN,controls-state-change-of,MTOR
PTEN,catalysis-precedes,NCK1
PTEN,controls-state-change-of,NCK1
PTEN,catalysis-precedes,NPHS1
PTEN,catalysis-precedes,NPHS2
PTEN,controls-state-change-of,NTN1
PTEN,catalysis-precedes,OC90
PTEN,catalysis-precedes,OCRL
PTEN,catalysis-precedes,OSBPL10
PTEN,catalysis-precedes,OSBPL5
PTEN,catalysis-precedes,OSBPL8
PTEN,catalysis-precedes,OTC
PTEN,controls-state-change-of,PARP1
PTEN,catalysis-precedes,PCK1
PTEN,catalysis-precedes,PDGFB
PTEN,catalysis-precedes,PDGFRB
PTEN,controls-state-change-of,PDPK1
PTEN,catalysis-precedes,PDPN
PTEN,catalysis-precedes,PHKA1
PTEN,catalysis-precedes,PHKA2
PTEN,catalysis-precedes,PHKB
PTEN,catalysis-precedes,PHKG1
PTEN,catalysis-precedes,PHKG2
PTEN,catalysis-precedes,PI4K2A
PTEN,catalysis-precedes,PI4K2B
PTEN,catalysis-precedes,PI4KA
PTEN,catalysis-precedes,PI4KB
PTEN,catalysis-precedes,PIGA
PTEN,catalysis-precedes,PIGC
PTEN,catalysis-precedes,PIGH
PTEN,catalysis-precedes,PIGP
PTEN,catalysis-precedes,PIGQ
PTEN,catalysis-precedes,PIK3C2B
PTEN,catalysis-precedes,PIK3CA
PTEN,catalysis-precedes,PIK3CB
PTEN,catalysis-precedes,PIK3R1
PTEN,catalysis-precedes,PIP4K2B
PTEN,catalysis-precedes,PIP4P1
PTEN,catalysis-precedes,PIP4P2
PTEN,catalysis-precedes,PIP5K1A
PTEN,catalysis-precedes,PIP5K1B
PTEN,catalysis-precedes,PIP5K1C
PTEN,catalysis-precedes,PIP5KL1
PTEN,catalysis-precedes,PLA2G1B
PTEN,catalysis-precedes,PLCB1
PTEN,catalysis-precedes,PLCB2
PTEN,catalysis-precedes,PLCB3
PTEN,catalysis-precedes,PLCB4
PTEN,catalysis-precedes,PLCD1
PTEN,catalysis-precedes,PLCD3
PTEN,catalysis-precedes,PLCD4
PTEN,catalysis-precedes,PLCE1
PTEN,catalysis-precedes,PLCG1
PTEN,controls-state-change-of,PLCG1
PTEN,catalysis-precedes,PLCG2
PTEN,catalysis-precedes,PLCH1
PTEN,catalysis-precedes,PLCH2
PTEN,catalysis-precedes,PLCZ1
PTEN,controls-state-change-of,PLD2
PTEN,catalysis-precedes,PMPCA
PTEN,catalysis-precedes,PNP
PTEN,controls-state-change-of,PSD
PTEN,controls-expression-of,PTGS2
PTEN,interacts-with,PTK2B
PTEN,controls-state-change-of,PTK2
PTEN,interacts-with,PTK2
PTEN,interacts-with,PTK7
PTEN,interacts-with,PTPA
PTEN,interacts-with,PTPN13
PTEN,interacts-with,PTPN14
PTEN,interacts-with,PXN
PTEN,catalysis-precedes,PYGB
PTEN,catalysis-precedes,PYGL
PTEN,catalysis-precedes,PYGM
PTEN,interacts-with,QRFPR
PTEN,interacts-with,RACK1
PTEN,interacts-with,RAD51
PTEN,controls-state-change-of,RAP1A
PTEN,controls-state-change-of,RAP1B
PTEN,in-complex-with,RBBP4
PTEN,in-complex-with,RBBP7
PTEN,interacts-with,RCC2
PTEN,in-complex-with,RCOR1
PTEN,in-complex-with,REST
PTEN,interacts-with,RHOA
PTEN,in-complex-with,RING1
PTEN,interacts-with,RNF146
PTEN,in-complex-with,RNF2
PTEN,interacts-with,ROCK1
PTEN,interacts-with,RPL10A
PTEN,interacts-with,RPL12
PTEN,interacts-with,RPL13A
PTEN,interacts-with,RPL13
PTEN,interacts-with,RPL14
PTEN,interacts-with,RPL22L1
PTEN,interacts-with,RPL23
PTEN,interacts-with,RPL27A
PTEN,interacts-with,RPL27
PTEN,interacts-with,RPL31
PTEN,interacts-with,RPL38
PTEN,interacts-with,RPL7
PTEN,interacts-with,RPLP0
PTEN,interacts-with,RPLP2
PTEN,interacts-with,RPS13
PTEN,interacts-with,RPS15A
PTEN,interacts-with,RPS17
PTEN,interacts-with,RPS20
PTEN,interacts-with,RPS25
PTEN,interacts-with,RPS26
PTEN,interacts-with,RPS27A
PTEN,interacts-with,RPS27
PTEN,interacts-with,RPS2
PTEN,interacts-with,RPS3
PTEN,interacts-with,RPS4X
PTEN,controls-state-change-of,RPS6KB1
PTEN,controls-state-change-of,RPS6
PTEN,interacts-with,RPS6
PTEN,interacts-with,RPS7
PTEN,interacts-with,RPS9
PTEN,controls-state-change-of,RRAS
PTEN,interacts-with,S100A8
PTEN,interacts-with,S100A9
PTEN,catalysis-precedes,SACM1L
PTEN,in-complex-with,SALL4
PTEN,interacts-with,SAMD14
PTEN,interacts-with,SBSN
