Gene,RelationName,To
IDH1,catalysis-precedes,AACS
IDH1,catalysis-precedes,AADAT
IDH1,catalysis-precedes,AASS
IDH1,catalysis-precedes,ABAT
IDH1,catalysis-precedes,ABCD1
IDH1,catalysis-precedes,ACAA1
IDH1,catalysis-precedes,ACAA2
IDH1,catalysis-precedes,ACAT1
IDH1,catalysis-precedes,ACAT2
IDH1,catalysis-precedes,ACLY
IDH1,catalysis-precedes,ACO1
IDH1,catalysis-precedes,ACO2
IDH1,catalysis-precedes,ACOT12
IDH1,catalysis-precedes,ACOT4
IDH1,catalysis-precedes,ACOT6
IDH1,catalysis-precedes,ACOT8
IDH1,catalysis-precedes,ACOX1
IDH1,catalysis-precedes,ACOX3
IDH1,catalysis-precedes,ACP2
IDH1,catalysis-precedes,ACP5
IDH1,catalysis-precedes,ACP6
IDH1,catalysis-precedes,ACPP
IDH1,catalysis-precedes,ACSBG2
IDH1,catalysis-precedes,ACSL1
IDH1,catalysis-precedes,ACSL3
IDH1,catalysis-precedes,ACSL4
IDH1,catalysis-precedes,ACSL5
IDH1,catalysis-precedes,ACSS2
IDH1,catalysis-precedes,ADHFE1
IDH1,catalysis-precedes,AGPAT4
IDH1,catalysis-precedes,AGXT
IDH1,catalysis-precedes,AJUBA
IDH1,catalysis-precedes,AKR1A1
IDH1,catalysis-precedes,AKR1B1
IDH1,catalysis-precedes,ALDH1A3
IDH1,catalysis-precedes,ALDH1B1
IDH1,catalysis-precedes,ALDH2
IDH1,catalysis-precedes,ALDH3A1
IDH1,catalysis-precedes,ALDH3A2
IDH1,catalysis-precedes,ALDH3B1
IDH1,catalysis-precedes,ALDH3B2
IDH1,catalysis-precedes,ALDH4A1
IDH1,catalysis-precedes,ALDH7A1
IDH1,catalysis-precedes,ALDH9A1
IDH1,catalysis-precedes,ALDOB
IDH1,catalysis-precedes,ALDOC
IDH1,catalysis-precedes,ALKBH1
IDH1,catalysis-precedes,ALKBH3
IDH1,catalysis-precedes,ALKBH4
IDH1,catalysis-precedes,ALKBH5
IDH1,catalysis-precedes,ALKBH7
IDH1,catalysis-precedes,ALKBH8
IDH1,catalysis-precedes,ALPG
IDH1,catalysis-precedes,ALPI
