Gene,RelationName,To
PIK3CA,controls-state-change-of,AAK1
PIK3CA,controls-expression-of,ABCA12
PIK3CA,controls-expression-of,ABCA1
PIK3CA,controls-expression-of,ABCC5
PIK3CA,controls-expression-of,ABCF2
PIK3CA,controls-expression-of,ABHD15
PIK3CA,controls-expression-of,ABI1
PIK3CA,controls-state-change-of,ABI1
PIK3CA,controls-state-change-of,ABI2
PIK3CA,controls-expression-of,ACBD5
PIK3CA,catalysis-precedes,ACLY
PIK3CA,controls-expression-of,ACOT6
PIK3CA,controls-expression-of,ACOX2
PIK3CA,controls-expression-of,ACSL1
PIK3CA,controls-state-change-of,ACTR2
PIK3CA,controls-state-change-of,ACTR3
PIK3CA,controls-state-change-of,ADAP1
PIK3CA,catalysis-precedes,ADCY2
PIK3CA,controls-expression-of,ADCY3
PIK3CA,controls-state-change-of,ADRB2
PIK3CA,controls-expression-of,ADRM1
PIK3CA,controls-expression-of,AFF3
PIK3CA,controls-state-change-of,AGFG1
PIK3CA,controls-expression-of,AGO2
PIK3CA,controls-state-change-of,AGTR1
PIK3CA,catalysis-precedes,AGT
PIK3CA,controls-expression-of,AHNAK2
PIK3CA,controls-expression-of,AKAP9
PIK3CA,controls-phosphorylation-of,AKT1
PIK3CA,controls-state-change-of,AKT1
PIK3CA,controls-transport-of,AKT1
PIK3CA,controls-phosphorylation-of,AKT2
PIK3CA,controls-state-change-of,AKT2
PIK3CA,controls-phosphorylation-of,AKT3
PIK3CA,controls-state-change-of,AKT3
PIK3CA,controls-expression-of,AMD1
PIK3CA,controls-state-change-of,AMPH
PIK3CA,controls-expression-of,ANKRA2
PIK3CA,controls-expression-of,ANKRD12
PIK3CA,controls-expression-of,ANKRD52
PIK3CA,controls-state-change-of,AP2A1
PIK3CA,controls-state-change-of,AP2A2
PIK3CA,controls-state-change-of,AP2B1
PIK3CA,controls-state-change-of,AP2M1
PIK3CA,controls-state-change-of,AP2S1
PIK3CA,controls-state-change-of,APC
PIK3CA,controls-state-change-of,APOB
PIK3CA,controls-expression-of,ARAF
PIK3CA,controls-state-change-of,ARAP3
PIK3CA,controls-expression-of,AREG
PIK3CA,controls-state-change-of,AREG
PIK3CA,controls-state-change-of,ARF6
PIK3CA,controls-expression-of,ARHGAP15
PIK3CA,controls-state-change-of,ARHGAP1
PIK3CA,controls-state-change-of,ARHGAP8
