Gene,RelationName,To
SLC26A3,catalysis-precedes,CFTR
SLC26A3,controls-transport-of-chemical,CHEBI:16189
SLC26A3,controls-transport-of-chemical,CHEBI:17544
SLC26A3,controls-transport-of-chemical,CHEBI:17996
SLC26A3,controls-transport-of-chemical,CHEBI:30623
SLC26A3,catalysis-precedes,CLCN6
SLC26A3,catalysis-precedes,PAPSS1
SLC26A3,catalysis-precedes,PAPSS2
SLC26A3,catalysis-precedes,RRM1
SLC26A3,catalysis-precedes,RRM2B
SLC26A3,catalysis-precedes,RRM2
SLC26A3,catalysis-precedes,SLC11A2
SLC26A3,catalysis-precedes,SLC12A4
SLC26A3,catalysis-precedes,SLC12A5
SLC26A3,catalysis-precedes,SLC12A6
SLC26A3,catalysis-precedes,SLC12A7
SLC26A3,catalysis-precedes,SLC13A3
SLC26A3,catalysis-precedes,SLC13A4
SLC26A3,catalysis-precedes,SLC25A10
SLC26A3,catalysis-precedes,SLC4A10
SLC26A3,catalysis-precedes,SLC4A1
SLC26A3,catalysis-precedes,SLC4A2
SLC26A3,catalysis-precedes,SLC4A7
SLC26A3,catalysis-precedes,SLC4A8
SLC26A3,catalysis-precedes,SLC4A9
SLC26A3,catalysis-precedes,SLC7A9
SLC26A3,interacts-with,SLC9A3R1
SLC26A3,interacts-with,SLC9A3R2
SLC26A3,catalysis-precedes,SLCO1A2
SLC26A3,catalysis-precedes,SLCO1B1
SLC26A3,catalysis-precedes,SLCO1C1
SLC26A3,catalysis-precedes,SLCO2A1
SLC26A3,catalysis-precedes,SLCO2B1
SLC26A3,catalysis-precedes,SLCO3A1
SLC26A3,catalysis-precedes,SLCO4A1
SLC26A3,catalysis-precedes,STS
SLC26A3,catalysis-precedes,UROD
